index,word,stem,suffix,frequency,frequency_in_a_million
516,salman,sal,man,48,0.12887745441574233
517,orman,or,man,47,0.1261925074487477
518,birdman,bird,man,47,0.1261925074487477
519,bollman,boll,man,47,0.1261925074487477
520,garbageman,garbage,man,47,0.1261925074487477
521,latterman,latter,man,47,0.1261925074487477
522,councilwoman,council,woman,47,0.1261925074487477
523,leadsman,leads,man,47,0.1261925074487477
524,kleinman,klein,man,47,0.1261925074487477
525,ooman,oo,man,46,0.12350756048175304
526,shoeman,shoe,man,46,0.12350756048175304
527,kleiman,klei,man,46,0.12350756048175304
528,coffman,coff,man,46,0.12350756048175304
529,beauman,beau,man,46,0.12350756048175304
530,mcmanaman,mcmana,man,46,0.12350756048175304
531,jazzman,jazz,man,45,0.12082261351475844
532,yorkshireman,yorkshire,man,45,0.12082261351475844
533,hallman,hall,man,45,0.12082261351475844
534,weidman,weid,man,45,0.12082261351475844
535,wattleman,wattle,man,45,0.12082261351475844
536,adelman,adel,man,45,0.12082261351475844
537,oysterman,oyster,man,44,0.1181376665477638
538,noman,no,man,44,0.1181376665477638
539,roundsman,rounds,man,44,0.1181376665477638
540,flashman,flash,man,44,0.1181376665477638
541,lowman,low,man,44,0.1181376665477638
542,raman,ra,man,44,0.1181376665477638
543,tyckman,tyck,man,43,0.11545271958076915
544,nightman,night,man,43,0.11545271958076915
545,deliveryman,delivery,man,43,0.11545271958076915
546,cartman,cart,man,43,0.11545271958076915
547,heintzelman,heintzel,man,43,0.11545271958076915
548,squawman,squaw,man,43,0.11545271958076915
549,holloman,hollo,man,43,0.11545271958076915
550,rudman,rud,man,43,0.11545271958076915
551,apeman,ape,man,43,0.11545271958076915
552,sailorman,sailor,man,43,0.11545271958076915
553,kinderman,kinder,man,43,0.11545271958076915
554,deadman,dead,man,42,0.11276777261377453
555,committeewoman,committee,woman,42,0.11276777261377453
556,heckman,heck,man,42,0.11276777261377453
557,dedman,ded,man,42,0.11276777261377453
558,muscleman,muscle,man,42,0.11276777261377453
559,tilghman,tilgh,man,41,0.1100828256467799
560,cochairman,cochair,man,41,0.1100828256467799
561,turkoman,turko,man,41,0.1100828256467799
562,wodman,wod,man,41,0.1100828256467799
563,dingman,ding,man,41,0.1100828256467799
564,sandman,sand,man,41,0.1100828256467799
565,badman,bad,man,40,0.10739787867978526
566,grohman,groh,man,40,0.10739787867978526
567,everman,ever,man,40,0.10739787867978526
568,timesman,times,man,40,0.10739787867978526
569,saltzman,saltz,man,40,0.10739787867978526
570,lehrman,lehr,man,40,0.10739787867978526
571,hauptman,haupt,man,40,0.10739787867978526
572,hinchman,hinch,man,40,0.10739787867978526
573,ellman,ell,man,40,0.10739787867978526
574,braverman,braver,man,39,0.10471293171279063
575,riegelman,riegel,man,39,0.10471293171279063
576,hardeman,harde,man,39,0.10471293171279063
577,beeman,bee,man,39,0.10471293171279063
578,karman,kar,man,39,0.10471293171279063
579,shabman,shab,man,39,0.10471293171279063
580,weyman,wey,man,39,0.10471293171279063
581,exciseman,excise,man,38,0.10202798474579601
582,stellman,stell,man,38,0.10202798474579601
583,appleman,apple,man,38,0.10202798474579601
584,neuman,neu,man,38,0.10202798474579601
585,manxman,manx,man,38,0.10202798474579601
586,hopman,hop,man,38,0.10202798474579601
587,glickman,glick,man,38,0.10202798474579601
588,ruman,ru,man,38,0.10202798474579601
589,liebman,lieb,man,38,0.10202798474579601
590,tubberman,tubber,man,38,0.10202798474579601
591,superwoman,super,woman,38,0.10202798474579601
592,liberman,liber,man,37,0.09934303777880137
